view oth element,check,xP4]utt number,utt proposition number,proposition type,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in
,,80.00 ,1,existence,pm pot,(---),,,
,,81.00 ,1,no prop,,,,,
,,82.00 ,1,no prop,,,,,
,,83.00 ,1,no prop,,,,,
,,84.00 ,1,existence,pm lamp,(---),,,
,,85.00 ,1,existence,self,(---),,,
,,86.00 ,1,existence,self,(---),,,
,,86.50 ,1,no prop,,,,,
,,87.00 ,1,no prop,,,,,
,,88.00 ,1,no prop,,,,,
,,89.00 ,1,no prop,,,,,
,,90.00 ,1,existence,pm tv,(---),,,
,,91.00 ,1,similarity,TV,(IS LIKE),pm TV,,
,,92.00 ,1,perform,(someone),SLEEP,,,
,,93.00 ,1,perform,self,(sleeps),,,pm beds | |
,,94.00 ,1,existence,couch,(---),,,
,,95.00 ,1,existence,pm toys ,(---),,,
,,96.00 ,1,existence,instruction sheet,(---),,,
,,97.00 ,1,existence,instruction sheet 1,(---),,,
,,97.00 ,2,existence,instruction sheet 2,(---),,,
,,97.00 ,3,existence,instruction sheet 3,(---),,,
,,97.00 ,4,existence,instruction sheet 4,(---),,,
,,98.00 ,1,no prop,,,,,
,,99.00 ,1,no prop,,,,,
,,100.00 ,1,no prop,,,,,
,,101.00 ,1,transform,(someone),PUT IN,(laundry pole),,(landry base) | |
,,102.00 ,1,existence,laundry line,(---),,,
,,102.50 ,1,existence,image,(---),,,
,,103.00 ,1,transform,(aysenur),HOLD,(laundry wringer),,
,,103.00 ,2,transform,(aysenur),MOVE CIRCLE,(wringer handle),,
,,104.00 ,1,existence,instruction sheet,(---),,,
,,105.00 ,1,stat poss,pm apron,(BELONGS TO),,pm person,
,,105.10 ,1,existence,bucket,(---),,,
,,105.10 ,2,existence,clothespins,(---),,,
,,106.00 ,1,existence,instruction sheet,(---),,,
,,107.00 ,1,existence,q,(---),,,
,,107.00 ,2,existence,instruction sheet,(---),,,
,,109.00 ,1,no prop,,,,,
,,109.50 ,1,transfer,(you),(MOVE),bag,(me),
,,110.00 ,1,existence,self,(---),,,
,,111.00 ,1,existence,motorcycle,(---),,,
,,112.00 ,1,no prop,,,,,
,,113.00 ,1,existence,motorcycle,(---),,,
,,114.00 ,1,similarity,pm dog,(IS LIKE),(dog outside),,
,,114.00 ,2,stat loc,(dog outside),(GOES/BELONGS),,outside,
,,115.00 ,1,existence,pm cat,(---),,,
,,115.50 ,1,no prop,,,,,
,,116.00 ,1,q,,,,,
,,116.20 ,1,no prop,,,,,
,,116.40 ,1,transform,(someone),PICK UP,(pm toy),,
,,116.40 ,2,transform,(someone),PUT DOWN,(pm toy),,
,,116.40 ,3,transform,(someone),RELEASE,(pm toy),,
,,117.00 ,1,transform,(aysenur),PICK UP,(pm toy),,
,,117.00 ,2,transform,(aysenur),PUT DOWN,(pm toy),,
,,118.00 ,1,transform,(someone),JAB,(something),,
,,119.00 ,1,no prop,,,,,
,,120.00 ,1,existence,q,(---),,,
,,121.00 ,1,existence,q,(---),,,
,,122.00 ,1,existence,garbage pail and man,(---),,,
,,123.00 ,1,transform,(someone),PICK UP,(something),,
,,123.00 ,2,transform,(someone),PUT IN,(something),,
,,124.00 ,1,no prop,,,,,
,,125.00 ,1,existence,garbage pail,(---),,,
,,125.00 ,2,existence,pm man,(---),,,
,,126.00 ,1,no prop,,,,,
,,127.00 ,1,existence,q,(---),,,
,,127.00 ,2,transport,(pm boy),GO TO,,hurdle,
,,128.00 ,1,transport,(someone),GO LEFT,,hurdle,
,,129.00 ,1,transport,(someone),GO UNDER,,(somewhere),
,,130.00 ,1,no prop,,,,,
,,131.00 ,1,existence,bike cover,(---),,,
,,132.00 ,1,no prop,,,,,
,,133.00 ,1,existence,q,(---),,,
,,134.00 ,1,stat poss,scaffolding,(BELONGS TO),,ladder,
,,135.00 ,1,no prop,,,,,
,,136.00 ,1,no prop,,,,,
,,137.00 ,1,perform,(fish),GO BACK AND FORTH,,,
,,138.00 ,1,transfer,(mother),GIVE,(pm toy),(aysenur),
,,139.00 ,1,perform,(fish),GO BACK AND FORTH,,,
,,140.00 ,1,existence,pm fish,(---),,,
,,141.00 ,1,existence,hand,(---),,,
,,142.00 ,1,existence,pm man,(---),,,
,,143.00 ,1,existence,self,(---),,,
,,144.00 ,1,similarity,pm man,(IS LIKE),self,,
,,145.00 ,1,similarity,pm man,(IS LIKE),self,,
,,145.00 ,2,similarity,mother,(IS LIKE),pm man,,
,,145.00 ,3,similarity,pm man,(IS LIKE),self,,
,,145.00 ,4,similarity,pm man,(IS LIKE),mother,,
,,146.00 ,1,existence,pm man 1,(---),,,
,,146.00 ,2,existence,pm man 2,(---),,,
,,147.00 ,1,similarity,pm man,(IS LIKE),dad,,
