xP4]utt number,xP4]subjses,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in,view oth element,xP4]utt number,utt proposition number,proposition type
37.00 ,TDC101 S02 child,,37,1,q,q,seq (-),q,(---),,,,,37.00 ,1,existence
,,,37,2,puzzle surface,en,end (•),,,,,,,,,
38.00 ,TDC101 S02 child,,38,1,puzzle,lo1,seq (-),(puzzle piece),(GOES/BELONGS),,puzzle,,,38.00 ,1,stat loc
,,,38,2,flip,flip,seq (-),,,,,,,,,
,,,38,3,rabbit,en2,seq (-),,,,,,,,,
,,,38,4,paint tube,en3,end (•),,,,,,,,,
38.00 ,TDC101 S02 child,,38,1,puzzle,lo1,seq (-),rabbit,(---),,,,,38.00 ,2,existence
,,,38,2,flip,flip,seq (-),,,,,,,,,
,,,38,3,rabbit,en2,seq (-),,,,,,,,,
,,,38,4,paint tube,en3,end (•),,,,,,,,,
38.00 ,TDC101 S02 child,,38,1,puzzle,lo1,seq (-),paint tube,(---),,,,,38.00 ,3,existence
,,,38,2,flip,flip,seq (-),,,,,,,,,
,,,38,3,rabbit,en2,seq (-),,,,,,,,,
,,,38,4,paint tube,en3,end (•),,,,,,,,,
39.00 ,TDC101 S02 child,,39,1,flourish,flourish,end (•),,,,,,,39.00 ,1,no prop
40.00 ,TDC101 S02 child,,40,1,puzzle piece,en,seq (-),puzzle piece,(---),,,,,40.00 ,1,existence
,,,40,2,flip,flip,abt (•),,,,,,,,,
40.50 ,TDC101 S02 child,,40.5,1,rabbit,ar,seq (-),rabbit,POUR,(paint),,,,40.50 ,1,transform
,,,40.5,2,POUR,ac,end (•),,,,,,,,,
41.00 ,TDC101 S02 child,,41,1,flip,flip,end (•),,,,,,,41.00 ,1,no prop
42.00 ,TDC101 S02 child,,42,1,EXTENT,de,end (•),(empty space),TRACE SPACE,,,,,42.00 ,1,descriptor
43.00 ,TDC101 S02 child,,43,1,girl rabbit,en,seq (-),girl rabbit,(---),,,,,43.00 ,1,existence
,,,43,2,boy rabbit ,en,end (•),,,,,,,,,
